#{"t_start": 1565118697.1351671, "env_id": null}
r,l,t
-992.325435,1001,32.138177
-1666.520954,1001,34.594903
-1477.693561,1001,36.681501
-1633.532271,1001,38.750101
-847.433229,1001,40.971078
-1299.114525,1001,42.918658
-1322.831162,1001,45.072574
-1511.220919,1001,47.365426
-1668.707695,1001,49.470465
-893.452864,1001,51.624912
-1434.719544,1001,53.998043
-2087.75489,1001,55.948559
-1815.680394,1001,58.26142
-2212.712267,1001,60.288461
-1130.48799,1001,62.458093
-707.915028,1001,64.541079
-694.002988,1001,66.530422
-1734.924103,1001,68.58161
-1843.323085,1001,70.662148
-1726.754207,1001,72.728939
-1500.757674,1001,74.765271
-1043.11629,1001,76.839567
-1208.766454,1001,78.785064
-1345.681164,1001,81.049676
-414.860727,1001,83.127188
-544.478661,1001,85.247886
-1743.232787,1001,87.361836
-1083.641663,1001,89.32352
-1235.308031,1001,91.455368
-1225.776982,1001,93.533408
-1733.603662,1001,95.571805
-936.258624,1001,97.671345
-1311.935086,1001,99.722977
-713.529704,1001,101.663165
-1217.34139,1001,103.793973
-1306.939976,1001,105.903008
-497.429544,1001,108.007889
-632.480962,1001,110.085421
-623.810581,1001,112.135937
-1452.27431,1001,114.286608
-1050.781346,1001,116.435368
-1825.522584,1001,118.551908
-1396.97857,1001,120.679277
-1078.434606,1001,122.756905
-1192.79386,1001,124.712204
-1614.101754,1001,126.856861
-2043.833005,1001,128.982085
-1425.042806,1001,131.022137
-1207.154179,1001,133.06397
-1053.492481,1001,135.211833
-912.489489,1001,137.15481
-960.506279,1001,139.302102
-1074.963696,1001,141.338388
-1090.406598,1001,143.4287
-1579.37228,1001,145.505686
-1117.74504,1001,147.429524
-2148.825351,1001,149.518691
-1605.704402,1001,151.585442
-1007.686438,1001,153.700949
-1088.835316,1001,155.751907
-902.655897,1001,157.794657
-1647.991303,1001,159.758657
-1510.790054,1001,161.801587
-1471.04449,1001,163.911057
-431.381775,1001,166.111998
-1598.875741,1001,168.254699
-618.662582,1001,170.132602
-1503.702819,1001,172.230021
-776.966427,1001,174.294427
-1092.991266,1001,176.313501
-1146.780932,1001,178.366959
-1751.672934,1001,180.653484
-1146.867352,1001,182.609863
-713.022426,1001,184.768925
-1909.340627,1001,186.868821
-216.503461,1001,188.901453
-728.307424,1001,191.006909
-1275.272108,1001,192.899534
-1278.536483,1001,194.961166
-1348.384148,1001,197.041978
-1150.490022,1001,199.13934
-2215.439045,1001,201.271583
-1000.919586,1001,203.294262
-1080.139833,1001,205.205992
-1197.107559,1001,207.349716
-859.704696,1001,209.465597
-1690.116731,1001,211.873127
-1245.403226,1001,213.952612
-1151.829066,1001,215.994705
-1054.911651,1001,217.876502
-1519.904397,1001,220.062174
-1389.498895,1001,222.114278
-1392.645844,1001,224.265153
-1668.379469,1001,226.473515
-510.880167,1001,228.403233
-678.956269,1001,230.533271
-1432.979036,1001,232.625152
-1235.937344,1001,234.828339
-1319.310711,1001,237.014964
-590.717606,1001,239.201395
-1274.377331,1001,241.149494
-1530.735995,1001,243.29261
-1992.678801,1001,245.39847
-548.087672,1001,247.463583
-1659.411982,1001,249.535095
-962.165591,1001,251.440511
-1641.063707,1001,253.561623
-882.467768,1001,255.608541
-1228.370806,1001,257.714314
-1145.64506,1001,259.797096
-487.51213,1001,261.863435
-1126.454377,1001,263.799587
-1450.976852,1001,265.825192
-1359.304106,1001,267.857445
-832.620203,1001,270.027654
-1553.777415,1001,272.077355
-1950.891815,1001,273.987422
-1531.355585,1001,276.12508
-1186.119571,1001,278.274716
-934.024831,1001,280.517565
-1016.899558,1001,282.586378
-1321.030004,1001,284.666135
-614.025714,1001,286.60271
-2050.60168,1001,288.670844
-379.466703,1001,290.892101
-1656.451774,1001,293.060112
-1515.015466,1001,295.217577
-1195.328361,1001,297.171553
-798.139695,1001,299.24261
-1883.695178,1001,301.373543
-2090.419794,1001,303.472344
-1334.411001,1001,305.558909
-1684.625091,1001,307.684059
-1475.113498,1001,309.658444
-1735.468751,1001,311.790731
-828.056547,1001,313.943187
-1141.806561,1001,316.328146
-1216.104419,1001,318.432711
-1384.388589,1001,320.577001
-782.923438,1001,322.451462
-2163.645921,1001,324.609815
-498.172803,1001,326.705835
-1716.557117,1001,328.920697
-1151.129169,1001,331.021715
-999.808279,1001,332.916428
-1676.474893,1001,335.084175
-862.470786,1001,337.180357
-1949.572965,1001,339.249987
-1832.120061,1001,341.397923
-679.158197,1001,343.508853
-779.902615,1001,345.381266
-1744.601728,1001,347.519411
-1271.232137,1001,349.758237
-1335.448509,1001,351.814079
-417.695487,1001,353.954736
-1447.579997,1001,355.856359
-677.781552,1001,357.985049
-447.521566,1001,360.141212
-1411.270599,1001,362.229024
-1088.282413,1001,364.414434
-1179.585438,1001,366.48745
-1193.868633,1001,368.488132
-1854.161843,1001,370.595963
-759.741226,1001,372.797313
-770.021514,1001,374.956216
-1129.327937,1001,377.160188
-734.052369,1001,379.102617
-1154.272435,1001,381.23119
-1376.688273,1001,383.361518
-731.733119,1001,385.601197
-1183.746872,1001,387.799422
-1230.775805,1001,389.870181
-640.277956,1001,391.797808
-1557.744914,1001,394.044525
-1232.242608,1001,396.174278
-985.878701,1001,398.281385
-1607.834269,1001,400.342736
-688.912533,1001,402.517903
-618.178063,1001,404.397321
-1656.6398,1001,406.528596
-2047.433738,1001,408.589362
-904.580479,1001,410.832831
-1827.616809,1001,412.932713
-1005.189909,1001,414.984063
-857.992268,1001,417.132272
-564.124675,1001,419.203871
-2135.848134,1001,421.305605
-594.76898,1001,423.446362
-488.251204,1001,425.648497
-1292.299633,1001,427.572248
-1243.352263,1001,429.598248
-1943.34465,1001,431.655345
-846.931613,1001,433.746904
-991.114567,1001,435.849521
-1314.022319,1001,437.770001
-303.820772,1001,439.883591
-634.650063,1001,441.930967
-1916.450367,1001,444.019691
-1393.864547,1001,446.135561
-984.464245,1001,448.273455
-1882.177596,1001,450.173769
-601.996204,1001,452.296693
-968.951028,1001,454.33771
-1021.822989,1001,456.415988
-1165.551601,1001,458.500568
-2100.850441,1001,460.358248
-1927.23532,1001,462.454191
-726.504044,1001,464.526346
-724.86458,1001,466.649612
-835.047236,1001,468.711994
-1018.058505,1001,470.768587
-1683.225964,1001,472.740961
-1756.144441,1001,474.812649
-1169.44987,1001,476.923977
-1848.785809,1001,479.050993
-852.709615,1001,481.070415
-1969.883172,1001,483.204465
-2042.429309,1001,485.09918
-958.162516,1001,487.214634
-893.571242,1001,489.27616
-1212.041262,1001,491.464792
-779.91535,1001,493.718296
-1821.006064,1001,495.705763
-1305.5643,1001,497.808558
-1533.1931,1001,499.87798
-695.271329,1001,501.96153
-1224.02221,1001,504.019521
-549.906985,1001,506.031675
-1409.105277,1001,507.919654
-1857.643124,1001,510.045382
-1312.155586,1001,512.242975
-1155.702228,1001,514.312741
-1182.673551,1001,516.413598
-1655.46417,1001,518.331443
-818.003627,1001,520.703678
-1017.552125,1001,522.780143
-1143.844637,1001,525.056321
-1176.925499,1001,527.250125
-819.822089,1001,529.367121
-1610.976337,1001,531.278203
-709.381841,1001,533.401981
-1251.866093,1001,535.474505
-1059.76524,1001,537.534766
-2063.344877,1001,539.603767
-564.310132,1001,541.531916
-532.587216,1001,543.570203
-1834.223203,1001,545.618251
-456.123766,1001,547.674917
-1959.916872,1001,549.797617
-1661.528108,1001,552.02608
-1145.200974,1001,554.050962
-671.433515,1001,556.072561
-942.72019,1001,558.103348
-1800.148978,1001,560.229106
-1258.660377,1001,562.386939
-1689.503028,1001,564.325795
-783.483008,1001,566.478643
-2083.377415,1001,568.562829
-1089.952949,1001,570.779566
-2299.376419,1001,572.798712
-465.030753,1001,574.950144
-791.941572,1001,577.047726
-1283.884611,1001,579.151376
-1810.166319,1001,581.24145
-1459.281176,1001,583.426894
-989.189671,1001,585.546052
-1322.772209,1001,587.642388
-1110.320132,1001,589.572099
-1776.764852,1001,591.600261
-1587.357938,1001,593.737412
-434.260416,1001,595.806099
-1563.216061,1001,597.936037
-899.138511,1001,600.050755
-1459.226581,1001,602.234193
-1195.290658,1001,604.581136
-1739.118665,1001,606.663945
-955.665041,1001,608.755043
-1973.253984,1001,610.913363
-1149.312267,1001,612.868765
-1305.220026,1001,614.961019
-1639.133726,1001,617.033749
-1399.43778,1001,619.091409
-1660.183223,1001,621.22118
-948.545403,1001,623.135092
-1310.370536,1001,625.22606
-1439.702569,1001,627.340699
-840.192808,1001,629.483934
-319.552998,1001,631.540477
-595.603536,1001,633.639212
-1048.751411,1001,635.60606
-819.2197,1001,637.709271
-792.49386,1001,639.833795
-662.359908,1001,642.006659
-1176.802663,1001,644.079446
-814.415951,1001,646.014916
-1361.142005,1001,648.06732
-804.34227,1001,650.122539
-311.473284,1001,652.259824
-1902.0526,1001,654.464123
-1102.666138,1001,656.541459
-2121.738109,1001,658.44312
-2195.350076,1001,660.602
-1345.819358,1001,662.718049
-1913.854127,1001,664.998332
-2091.048618,1001,667.09717
-1570.733852,1001,669.189343
-1636.167151,1001,671.076561
-1225.819004,1001,673.121168
-1830.546826,1001,675.238436
-552.979553,1001,677.269911
-1391.116523,1001,679.30105
-323.133378,1001,681.245107
-2187.487102,1001,683.30264
-1012.929807,1001,685.389223
-536.277294,1001,687.467248
-1067.498068,1001,689.568296
-1352.90297,1001,691.675511
-856.361891,1001,693.654809
-1815.82581,1001,695.778632
-1418.52346,1001,697.928747
-240.184507,1001,700.007616
-1227.072461,1001,702.069201
-585.684156,1001,703.928198
-1389.917041,1001,705.955139
-1356.41002,1001,708.04752
-1662.694477,1001,710.119402
-591.63133,1001,712.22501
-483.25341,1001,714.30181
-1339.14802,1001,716.260914
-1193.007956,1001,718.347603
-1457.348146,1001,720.420337
-1496.439266,1001,722.573572
-627.070806,1001,724.75048
-787.617573,1001,726.79294
-1729.016465,1001,728.90005
-1004.550178,1001,731.000889
