#{"t_start": 1565158974.925936, "env_id": null}
r,l,t
-1722.827882,1001,66.662796
-1691.61495,1001,74.867163
-951.148836,1001,82.717944
-1388.605733,1001,89.594529
-1550.606851,1001,96.971535
-906.946442,1001,103.432031
-1094.91022,1001,110.5437
-1191.735895,1001,117.762922
-886.241042,1001,125.015607
-1226.584695,1001,131.683452
-1361.427693,1001,139.142135
-1274.082762,1001,145.303977
-1016.550585,1001,151.904254
-1542.272169,1001,158.748013
-1587.205931,1001,165.609716
-1179.826402,1001,173.136456
-921.095764,1001,179.713291
-2131.495626,1001,186.851057
-1414.787981,1001,194.058632
-1176.300466,1001,201.458769
-1882.956149,1001,208.642228
-759.407174,1001,215.717482
-1892.702103,1001,222.845895
-1355.640297,1001,230.253188
-1247.811862,1001,237.716663
-866.873727,1001,245.158813
-1070.564363,1001,252.774838
-1812.00146,1001,259.068216
-1685.524829,1001,266.444294
-1822.043553,1001,273.564085
-1830.366837,1001,280.872883
-1630.788737,1001,288.021224
-1419.176063,1001,295.042852
-1356.595784,1001,301.500752
-1568.386867,1001,308.584405
-814.940583,1001,315.830743
-1317.064777,1001,322.747097
-1181.992703,1001,330.019748
-1893.124512,1001,336.174929
-1212.214876,1001,343.371593
-1649.930253,1001,350.653585
-941.288182,1001,358.329364
-2016.689302,1001,365.798609
-1507.18841,1001,373.290731
-690.063867,1001,380.129238
-1482.271768,1001,387.137033
-880.660863,1001,394.612436
-1381.001577,1001,401.923518
-558.712296,1001,409.14797
-1136.095612,1001,416.169492
-841.833875,1001,423.085617
-1979.738197,1001,430.117977
-1036.536102,1001,437.515098
-2108.197945,1001,444.608566
-1214.565138,1001,452.253158
-1540.674588,1001,459.0179
-1447.732414,1001,466.622791
-1366.121536,1001,473.549396
-1722.982086,1001,480.962092
-695.465014,1001,487.977924
-1047.21775,1001,495.069067
-2151.647886,1001,501.117803
-833.575062,1001,508.002178
-367.787978,1001,515.460841
-1124.012652,1001,522.915921
-1460.548245,1001,529.789349
-1221.292452,1001,536.013257
-1849.20497,1001,542.877226
-1186.331561,1001,550.031324
-1388.74394,1001,557.212447
-936.165968,1001,564.851905
-939.619906,1001,572.078835
-2316.836955,1001,579.304076
-1416.778177,1001,586.206282
-1359.138619,1001,593.851811
-1032.284727,1001,601.217461
-1311.673684,1001,608.324552
-1809.592595,1001,614.618075
-1916.747832,1001,621.643697
-761.831306,1001,628.996257
-1598.761135,1001,636.138004
-521.522438,1001,643.556311
-2235.0151,1001,650.749907
-2353.246155,1001,657.446962
