#{"t_start": 1567030915.4624355, "env_id": null}
r,l,t
-2822.868709,1001,52.218331
-1954.366153,1001,59.018932
-1870.805954,1001,65.11984
-3019.099624,1001,71.594373
-1399.989845,1001,78.185962
-2380.44165,1001,83.971156
-1370.92461,1001,90.94423
-1231.498723,1001,97.977197
-1717.334974,1001,104.152666
-2002.068548,1001,110.354629
-1281.73192,1001,117.136054
-2258.727728,1001,123.430655
-2022.910189,1001,129.651138
-1842.756187,1001,136.066491
-1586.0352,1001,142.881831
-1324.394884,1001,149.97366
-2155.206244,1001,155.98394
-2825.624108,1001,162.545888
-1496.625173,1001,168.779894
-2258.46912,1001,175.726778
-1995.29944,1001,182.383962
-1704.838388,1001,188.844611
-1824.51984,1001,194.817711
-1903.683128,1001,201.617338
-1483.278507,1001,208.598469
-2046.248817,1001,215.233347
-2252.142744,1001,222.133301
-2414.425572,1001,228.81516
-2042.163885,1001,235.703872
-1651.094626,1001,241.714983
-2061.908438,1001,248.437395
-2350.508528,1001,255.185571
-2145.154516,1001,261.809832
-1645.253654,1001,267.61024
-2203.046021,1001,273.933792
-2258.162216,1001,280.635969
-2826.729944,1001,286.991977
-1455.001583,1001,293.321675
-1609.125892,1001,299.051775
-2885.061741,1001,305.202704
-2204.1938,1001,311.711337
-1946.847172,1001,318.522799
-1765.592605,1001,325.248471
-2425.634392,1001,331.540457
-1430.95897,1001,337.465794
-2372.255095,1001,343.45253
-1482.562807,1001,349.936087
-1810.931592,1001,356.647442
-1959.047629,1001,363.016979
-1989.232533,1001,369.584654
-2013.877513,1001,375.518364
-1446.281721,1001,381.843202
-1462.372166,1001,388.096845
-1398.914933,1001,394.911376
-1255.17417,1001,401.710091
-1835.492365,1001,407.50077
-2204.316745,1001,413.991328
-1908.053377,1001,420.805836
-2383.835668,1001,427.365929
-1857.387392,1001,434.081818
-1901.514443,1001,440.356716
-1366.688474,1001,446.516791
-1643.927539,1001,452.956061
-1833.257254,1001,459.620709
-1845.410954,1001,465.772951
-1882.175068,1001,472.036588
-1373.535966,1001,477.849599
-2091.029135,1001,484.554665
-2204.39116,1001,490.846228
-1982.096802,1001,497.208596
-2355.348801,1001,503.578652
-2090.673338,1001,509.889699
-1670.360611,1001,516.248943
-1535.361002,1001,522.664691
-1864.564256,1001,529.231996
-2541.893861,1001,535.888424
-1739.304525,1001,542.468097
-2364.919586,1001,548.330753
-2283.269386,1001,554.838247
-2527.02177,1001,561.230453
-2022.237577,1001,567.50015
-1879.936659,1001,573.677906
-2657.306393,1001,580.216448
-1618.090158,1001,586.224116
-1710.224075,1001,592.910746
-1631.193201,1001,599.3452
-1980.76062,1001,605.745718
-1773.535616,1001,612.693795
-2119.999033,1001,619.100743
-2438.213925,1001,624.955639
-2280.500503,1001,631.54809
-2433.570666,1001,638.084274
-2282.008622,1001,644.629827
-1790.670392,1001,651.222365
-1104.198525,1001,657.349559
-2175.979431,1001,663.922863
-1644.144361,1001,670.437498
-1894.83095,1001,677.330885
-1504.034207,1001,684.322888
