#{"t_start": 1565133244.3965151, "env_id": null}
r,l,t
-1397.241305,1001,63.667553
-1014.404976,1001,71.626756
-917.586052,1001,78.625902
-1054.664038,1001,85.95336
-728.506205,1001,93.384134
-852.0293,1001,100.411905
-1113.409476,1001,107.754333
-1288.814152,1001,114.869977
-1659.600372,1001,122.219933
-1323.091827,1001,129.14449
-1265.782079,1001,136.059527
-1584.610862,1001,142.651235
-1705.822978,1001,149.674905
-1305.423444,1001,156.710276
-985.75446,1001,163.80349
-916.971656,1001,170.76097
-1474.956537,1001,177.280708
-842.135669,1001,184.954964
-1483.238297,1001,191.905475
-2361.733574,1001,198.979674
-1111.433617,1001,206.348465
-797.835834,1001,213.727155
-2103.115109,1001,220.361826
-1748.16778,1001,227.30986
-1644.773144,1001,233.920711
-2263.041056,1001,241.316433
-747.505157,1001,248.464189
-835.263307,1001,254.76261
-1678.152611,1001,262.24405
-1979.691382,1001,269.161181
-1954.821723,1001,276.383116
-471.266549,1001,283.332393
-1305.634182,1001,290.439718
-1691.082644,1001,297.050188
-1394.278167,1001,303.949028
-1322.523044,1001,310.846718
-2005.753977,1001,317.88484
-1726.129804,1001,325.221098
-1257.936461,1001,331.537584
-1020.381971,1001,339.103779
-1246.555228,1001,346.358067
-1067.435956,1001,353.37427
-1960.156029,1001,360.263603
-1187.57354,1001,368.012231
-1143.439034,1001,374.664004
-803.661352,1001,381.957019
-978.648787,1001,389.362368
-2163.089054,1001,397.188009
-511.578739,1001,404.04222
-1893.043291,1001,411.535678
-887.119396,1001,417.83069
-760.297443,1001,425.22696
-805.334062,1001,432.776998
-1699.867896,1001,440.036287
-1021.831579,1001,447.115191
-1971.274007,1001,453.883516
-1452.359272,1001,461.200215
-387.025733,1001,468.106947
-1827.196986,1001,475.187137
-1342.962027,1001,482.11824
-1079.492784,1001,489.709578
-1015.111027,1001,496.669886
-1188.178414,1001,504.621461
-744.858457,1001,511.724936
-1689.659171,1001,518.811581
-2310.515454,1001,526.034181
-1373.892024,1001,532.122365
-1331.936866,1001,539.641384
-1082.212974,1001,547.441825
-1034.729704,1001,554.374428
-1653.917863,1001,561.904679
-1742.23358,1001,568.936491
-1053.298318,1001,575.626818
-1305.330285,1001,582.979448
-1029.334313,1001,589.923387
-1225.085421,1001,597.474607
-1510.211249,1001,604.501768
-1779.938529,1001,611.267877
-1402.587166,1001,618.082365
-1535.613643,1001,624.897654
-1517.647682,1001,632.221852
-1664.145846,1001,639.35421
-1558.961475,1001,646.731647
-1116.247428,1001,653.201212
-804.103866,1001,660.301875
-1474.940978,1001,667.085868
-612.915154,1001,674.952019
-1146.658324,1001,681.978435
-855.980375,1001,689.174468
-1251.24543,1001,696.389335
-1433.86617,1001,703.488638
-1778.435485,1001,711.028934
-1065.46873,1001,717.564241
-1163.660901,1001,724.400221
-1965.70721,1001,731.13974
-1848.819726,1001,738.739015
-1358.170972,1001,746.455273
-1680.90402,1001,754.074511
-1667.511417,1001,761.30964
-1763.97782,1001,768.178349
-966.873619,1001,774.848615
-1856.460422,1001,781.553611
-1218.291239,1001,788.996834
-1469.739501,1001,796.563298
-2007.452697,1001,804.086905
-1486.396792,1001,810.753843
