#{"t_start": 1565805908.9921412, "env_id": null}
r,l,t
-1424.648626,1001,56.392149
-1246.620864,1001,63.817701
-1546.555003,1001,70.855897
-1729.733408,1001,77.559664
-1166.219482,1001,84.387601
-1611.89476,1001,90.748809
-1736.325871,1001,97.400486
-1644.705443,1001,104.348506
-1111.046047,1001,111.098562
-1340.168778,1001,117.851923
-1165.53975,1001,124.85127
-988.621799,1001,130.844974
-1259.14741,1001,137.532996
-1193.302515,1001,144.03529
-1383.738267,1001,150.71228
-1802.813403,1001,157.320499
-1094.037437,1001,163.491618
-1756.055145,1001,170.462004
-1125.942147,1001,176.970293
-1784.676504,1001,183.718441
-1103.775947,1001,190.969988
-1966.425297,1001,197.564926
-862.519592,1001,203.448509
-1471.432133,1001,210.216411
-1642.512056,1001,217.490297
-1672.541806,1001,224.618436
-1197.019719,1001,231.129354
-1591.923689,1001,237.413413
-1436.581455,1001,244.365889
-657.803811,1001,250.870601
-1313.107931,1001,257.803713
-1518.957995,1001,264.552383
-975.465714,1001,271.276873
-1166.017518,1001,277.585452
-1382.469536,1001,284.280899
-658.483835,1001,290.96734
-1546.620325,1001,298.003054
-1768.038484,1001,305.003597
-571.15666,1001,311.439913
-469.15381,1001,318.335704
-1609.944385,1001,325.137024
-1614.561084,1001,331.889086
-1095.694645,1001,338.968486
-754.419291,1001,345.485818
-752.823742,1001,352.027878
-1776.589312,1001,358.931646
-1153.449778,1001,365.540952
-871.244546,1001,372.765569
-1134.207239,1001,379.456177
-2435.704548,1001,386.137333
-1959.125418,1001,392.281783
-1557.566493,1001,399.087018
-1509.824341,1001,405.538931
-990.748449,1001,412.289374
-1255.73663,1001,419.321649
-1433.666992,1001,425.199455
-1474.493157,1001,432.266917
-1557.658119,1001,438.762936
-796.955088,1001,445.208582
-1031.044027,1001,451.75397
-1797.883201,1001,458.631129
-968.523672,1001,464.58853
-1370.078776,1001,471.081762
-510.270245,1001,477.633543
-374.854608,1001,484.237179
-1514.838493,1001,491.105476
-2018.37745,1001,497.094627
-1522.038058,1001,503.72308
-1387.360691,1001,510.153157
-2037.152751,1001,517.104397
-1006.018933,1001,523.595581
-845.218115,1001,530.248134
-916.607919,1001,536.613336
-1843.891258,1001,543.097495
-1431.121586,1001,549.597375
-815.926232,1001,556.618993
-1496.884453,1001,563.206112
-548.520885,1001,569.264376
-978.35793,1001,576.074917
-872.822714,1001,582.696753
-991.091483,1001,589.253896
-1559.74397,1001,596.261744
-1856.718645,1001,602.953748
-1960.870445,1001,608.783192
-1491.893044,1001,615.211925
-2107.956037,1001,622.180482
-2320.916561,1001,629.40456
-1207.736262,1001,635.890959
-1469.374769,1001,642.588304
-1574.766559,1001,648.812792
-1189.873622,1001,655.78199
-1704.893091,1001,662.69208
-1153.757555,1001,669.471191
-1512.846675,1001,676.412009
-1408.617043,1001,682.994856
-912.22709,1001,689.417203
-1145.466594,1001,696.455188
-1418.005962,1001,703.222246
-1251.169881,1001,710.225392
-2020.03348,1001,716.853822
-344.222443,1001,723.147259
-737.1445,1001,730.157526
-1744.39615,1001,737.013943
-1835.282701,1001,743.40114
-1461.77038,1001,749.93267
-2230.217375,1001,756.25988
-1285.184596,1001,762.946931
-1605.719817,1001,769.966665
-2123.725799,1001,776.364944
-855.025939,1001,782.606441
-887.460267,1001,789.582961
-1532.025409,1001,795.422913
-1829.234539,1001,801.962004
-699.672045,1001,808.525631
-1366.831328,1001,815.247085
-1718.593678,1001,822.125888
-1287.984716,1001,828.556827
-1784.773934,1001,835.369438
-1295.19295,1001,842.125891
-985.398259,1001,848.941496
-787.038656,1001,855.73923
-1390.555977,1001,862.560183
-1534.888562,1001,868.894576
-1343.639044,1001,875.863068
-947.169453,1001,882.730506
-1344.61411,1001,889.274574
-698.80614,1001,895.638449
-612.279485,1001,902.159116
-930.554402,1001,908.91026
-886.550771,1001,915.498741
-1029.12905,1001,922.464792
-1726.037889,1001,928.944923
-2059.728739,1001,935.539218
-1806.843298,1001,941.896011
-961.990811,1001,948.866129
-798.729848,1001,955.789144
-1641.832622,1001,962.179967
-470.921286,1001,968.635068
-1630.835746,1001,975.438895
-1398.730611,1001,981.727239
-1598.965481,1001,988.271449
-2110.547805,1001,995.164287
-791.522501,1001,1002.117439
-1055.723277,1001,1008.863834
-1187.115094,1001,1014.91311
-591.305237,1001,1021.855683
-1488.494108,1001,1028.655656
-975.78541,1001,1035.064114
-1002.433329,1001,1041.946685
-951.388227,1001,1048.015838
-1675.640694,1001,1053.857762
-1456.501054,1001,1060.520498
-1830.389118,1001,1066.980068
-2096.270297,1001,1073.525799
-1907.165058,1001,1080.30577
-1465.392513,1001,1086.148437
-1920.421029,1001,1092.546108
-1297.527415,1001,1099.382286
-943.966403,1001,1106.328986
-1397.099883,1001,1113.231484
-1116.404012,1001,1119.798766
-323.794988,1001,1126.025681
-1174.734756,1001,1132.585107
-1350.962811,1001,1138.919076
-916.762329,1001,1146.227897
-834.448424,1001,1152.694614
-1708.62632,1001,1158.24551
-567.345217,1001,1164.557304
-793.414849,1001,1171.249258
-609.482913,1001,1178.03016
-2332.939791,1001,1184.53181
-885.791021,1001,1191.454649
-1484.671398,1001,1197.502969
-1024.355653,1001,1203.87331
-1755.291433,1001,1210.719069
-1495.074683,1001,1218.091972
-1998.096709,1001,1224.833471
-1235.306175,1001,1231.441227
-1892.876669,1001,1237.404822
-1688.592952,1001,1244.546848
-1137.233549,1001,1251.438841
-1200.465742,1001,1258.201748
-901.227588,1001,1264.810798
-1148.452136,1001,1271.013822
-1207.672974,1001,1277.403352
-1430.060541,1001,1284.091837
-717.039828,1001,1290.854904
-2082.143558,1001,1297.833697
-1783.473878,1001,1304.516622
-1731.080652,1001,1310.444059
-1524.588735,1001,1317.513911
-1184.650833,1001,1324.845565
-1775.118192,1001,1331.229466
-1270.736501,1001,1337.936859
-1241.68104,1001,1344.2113
-1332.110085,1001,1351.203083
-1001.201763,1001,1358.222322
-1665.024947,1001,1364.861548
-1957.022614,1001,1371.499611
-1131.680169,1001,1378.139549
-1323.282506,1001,1383.971939
-1123.262251,1001,1390.777132
-2018.374463,1001,1397.66758
-1059.16663,1001,1403.780078
-1316.961726,1001,1410.060686
-2043.785831,1001,1415.80548
-1812.659305,1001,1422.398661
-1349.917805,1001,1429.291084
-1661.849007,1001,1436.25978
-309.092841,1001,1443.001867
-420.031168,1001,1449.71798
-1544.923017,1001,1456.207764
-1643.308275,1001,1462.584573
-1726.684327,1001,1469.410527
-1458.963083,1001,1476.036211
-671.697594,1001,1482.740592
-1167.833106,1001,1489.083317
-1700.84166,1001,1495.549791
-755.031052,1001,1502.676496
-1417.846177,1001,1509.9574
-1407.976494,1001,1516.294856
-1635.279103,1001,1523.084254
-1006.410888,1001,1529.304015
-1660.470769,1001,1535.677053
-1612.076537,1001,1541.908245
-713.239215,1001,1549.014696
-1671.129438,1001,1555.896357
-1278.954619,1001,1562.783213
-1623.909559,1001,1569.034888
-1078.110829,1001,1576.14204
-1123.909434,1001,1582.338779
-1404.015627,1001,1589.500935
-1873.696203,1001,1595.764885
-1119.486866,1001,1602.016954
-1554.011645,1001,1608.563703
-993.407602,1001,1614.626222
-1272.796079,1001,1620.871431
-893.766499,1001,1627.897421
-997.410892,1001,1634.576154
-1707.82545,1001,1640.983908
-1519.742328,1001,1647.774436
-1337.938233,1001,1654.409039
-1600.665617,1001,1660.785033
-548.133502,1001,1667.707737
-658.634473,1001,1673.867254
-1150.692487,1001,1680.721889
-1780.58594,1001,1687.261398
-2013.687888,1001,1693.941613
-1695.79363,1001,1700.577144
-1343.94762,1001,1707.400226
-1590.647397,1001,1713.906494
-1192.217507,1001,1720.476179
-2121.118508,1001,1726.685566
-663.186962,1001,1733.858328
-1687.190041,1001,1740.479396
-1874.907706,1001,1746.598953
-1989.435163,1001,1753.273664
-1116.766983,1001,1760.302849
-1712.599355,1001,1766.889328
-1356.141018,1001,1773.409886
-1493.61752,1001,1779.944974
