#{"t_start": 1565044896.8491504, "env_id": null}
r,l,t
-1205.846763,1001,34.546737
-1061.4352,1001,37.075425
-851.953127,1001,39.197718
-811.946972,1001,41.249377
-1755.082107,1001,43.369738
-1658.614534,1001,45.320532
-741.086459,1001,47.498681
-1189.484453,1001,49.593909
-1459.335778,1001,51.617659
-964.426572,1001,53.740616
-1246.088657,1001,55.999754
-1305.861692,1001,57.902634
-1713.267885,1001,60.019669
-1657.198109,1001,62.217482
-1699.570121,1001,64.345395
-1237.298726,1001,66.456969
-1278.880862,1001,68.451834
-1659.053268,1001,70.542821
-1227.676771,1001,72.61479
-997.73995,1001,74.652621
-944.101111,1001,76.766853
-1442.261127,1001,78.815742
-2129.012379,1001,80.753022
-1134.262146,1001,82.841665
-461.14547,1001,84.938941
-1480.968755,1001,87.019757
-1868.970761,1001,89.041718
-2216.08919,1001,90.93241
-517.036776,1001,93.021384
-801.712221,1001,95.131484
-1222.941978,1001,97.226857
-1237.917134,1001,99.298794
-1755.336494,1001,101.362342
-1154.392681,1001,103.321138
-867.266632,1001,105.342032
-1441.63263,1001,107.374579
-1052.749472,1001,109.385272
-1235.129864,1001,111.545204
-1713.321695,1001,113.448454
-1409.93312,1001,115.623367
-406.139675,1001,117.726475
-1394.416795,1001,119.795425
-1095.119346,1001,121.827373
-1239.620455,1001,123.908971
-1248.504682,1001,125.811124
-1662.963732,1001,127.884001
-1767.129759,1001,129.952276
-1487.879025,1001,132.000161
-684.815827,1001,134.088039
-1351.232281,1001,136.114536
-1254.977273,1001,138.001913
-1955.290369,1001,140.084383
-2131.332503,1001,142.074535
-1839.556686,1001,144.115891
-1696.225858,1001,146.251596
-1492.67159,1001,148.111369
-1439.610214,1001,150.187313
-1443.391927,1001,152.323348
-1371.083644,1001,154.379338
-1284.824892,1001,156.484561
-1155.909466,1001,158.675845
-1123.899875,1001,160.604521
-1420.359897,1001,162.698022
-1038.871072,1001,164.855876
-557.979001,1001,166.951144
-1227.733774,1001,168.97922
-1610.709061,1001,170.963224
-1305.545427,1001,173.127273
-1070.081213,1001,175.215974
-1890.237484,1001,177.301512
-1380.242398,1001,179.445124
-1857.955678,1001,181.477614
-1312.375141,1001,183.402154
-1778.985643,1001,185.477841
-1614.71021,1001,187.528508
-1323.194256,1001,189.548171
-1037.626033,1001,191.615158
-1415.936332,1001,193.511359
-1495.405222,1001,195.590241
-1391.517432,1001,197.709864
-1163.049826,1001,199.834633
-847.566442,1001,201.978711
-1443.554695,1001,204.098256
-2112.43931,1001,206.022562
-940.547258,1001,208.101982
-1113.95329,1001,210.108595
-1317.004106,1001,212.397965
-843.583699,1001,214.525831
-1416.353036,1001,216.537951
-1855.990322,1001,218.47323
-1460.822971,1001,220.514391
-1532.935092,1001,222.556067
-1809.44306,1001,224.59289
-1181.6198,1001,226.751112
-2091.937739,1001,228.677295
-651.904619,1001,230.805522
-2082.879449,1001,232.896508
-1643.048271,1001,235.136215
-1331.510515,1001,237.259922
-1093.990043,1001,239.507604
-733.609246,1001,241.469996
-1191.039046,1001,243.684819
-2521.222552,1001,245.757272
-1489.941953,1001,247.971563
-1209.486312,1001,250.026242
-712.127022,1001,251.925227
-1309.552589,1001,254.069267
-589.321944,1001,256.117721
-1070.715705,1001,258.27445
-1229.44126,1001,260.319621
-804.088287,1001,262.394673
-531.793778,1001,264.422464
-1867.075704,1001,266.564435
-1022.641229,1001,268.717797
-1082.899999,1001,270.850304
-1867.375115,1001,272.979527
-747.043337,1001,274.844496
-591.749863,1001,276.899366
-1880.17127,1001,279.006062
-1082.976292,1001,281.109247
-1427.499887,1001,283.192504
-1726.800208,1001,285.257339
-449.451134,1001,287.303069
-1911.104704,1001,289.392863
-918.647472,1001,291.454471
-1166.195142,1001,293.529044
-1373.074859,1001,295.615604
-1475.530914,1001,297.589715
-1713.840959,1001,299.60143
-542.209261,1001,301.747376
-1670.195535,1001,303.867733
-1203.499404,1001,305.959897
-739.223386,1001,308.041068
-1404.273636,1001,309.921674
-1042.717549,1001,311.993199
-1544.621602,1001,314.11526
-1883.046841,1001,316.356706
-850.745971,1001,318.631074
-1134.841049,1001,320.755711
-1759.433733,1001,322.670714
-1728.924216,1001,324.794593
-785.923692,1001,326.998448
-832.301087,1001,329.024912
-1187.075471,1001,331.123624
-874.489357,1001,333.045499
-1368.984426,1001,335.104672
-2063.747852,1001,337.265685
-2061.647994,1001,339.313568
-1405.454995,1001,341.334138
-986.202216,1001,343.334955
-1496.359984,1001,345.280828
-995.500388,1001,347.482802
-1436.216125,1001,349.559523
-838.511865,1001,351.614972
-2256.774164,1001,353.73265
-1956.264492,1001,355.6337
-875.76719,1001,357.698942
-1591.590281,1001,359.767136
-792.779311,1001,361.820969
-656.957428,1001,363.892177
-1965.738026,1001,365.934949
-829.932163,1001,367.835564
-2166.006196,1001,369.935216
-1254.483372,1001,372.062807
-2110.724924,1001,374.212365
-1359.165534,1001,376.281553
-1940.496586,1001,378.15289
-1772.666126,1001,380.31822
-723.775182,1001,382.361373
-1538.069188,1001,384.402975
-1150.813597,1001,386.475965
-2097.871698,1001,388.537454
-1222.296933,1001,390.398271
-1224.510518,1001,392.493833
-2004.414523,1001,394.591067
-718.489848,1001,396.712967
-1250.245081,1001,398.740636
-1204.440387,1001,400.806031
-878.588748,1001,402.696827
-1318.389216,1001,404.765478
-1230.204817,1001,406.830153
-941.003138,1001,408.881666
-513.03603,1001,410.976657
-1196.588246,1001,412.844106
-683.760885,1001,414.879907
-2219.368719,1001,416.938803
-746.917584,1001,419.0338
-1187.246165,1001,421.088601
-1501.429366,1001,423.206902
-982.928708,1001,425.11603
-2013.880851,1001,427.192278
-1523.138296,1001,429.310859
-1322.971732,1001,431.413369
-1750.527359,1001,433.538754
-471.212769,1001,435.583345
-1795.971573,1001,437.63851
-1163.237591,1001,439.737649
-1760.018843,1001,441.967713
-1636.838172,1001,444.071593
-2126.748311,1001,446.275106
-2326.650583,1001,448.131566
-367.532273,1001,450.232093
-472.410517,1001,452.299101
-924.735427,1001,454.448836
-1986.521692,1001,456.534379
-562.305244,1001,458.45326
-1613.999919,1001,460.554353
-1471.575874,1001,462.592279
-1373.6282,1001,464.756562
-757.277665,1001,466.8076
-1588.307412,1001,468.921418
-951.916438,1001,470.933418
-1211.598714,1001,472.978039
-1705.883391,1001,475.042259
-505.183157,1001,477.067574
-784.107413,1001,479.116789
-2134.198804,1001,481.176449
-643.616492,1001,483.078928
-1284.629221,1001,485.175559
-1785.310725,1001,487.244743
-1394.343507,1001,489.349681
-1948.463977,1001,491.493901
-1674.942269,1001,493.365846
-1671.015688,1001,495.385599
-1494.845241,1001,497.446853
-1416.129905,1001,499.611826
-1137.624863,1001,501.653271
-1594.373628,1001,503.727984
-1506.899391,1001,505.63806
-2095.47849,1001,507.740887
-1291.355866,1001,509.830214
-845.097245,1001,511.880437
-1205.705097,1001,513.969208
-1611.554321,1001,515.890177
-1089.092886,1001,517.998255
-493.589491,1001,520.144787
-1479.642761,1001,522.180003
-1328.555317,1001,524.301205
-1507.230611,1001,526.300554
-834.043614,1001,528.248047
-1194.121405,1001,530.390932
-1043.882023,1001,532.477103
-1480.469234,1001,534.497668
-984.205836,1001,536.517162
-2064.093683,1001,538.370772
-1163.876085,1001,540.430644
-1112.791431,1001,542.469814
-1678.987338,1001,544.510495
-939.649906,1001,546.560397
-922.249076,1001,548.599052
-1601.707351,1001,550.542689
-1000.971109,1001,552.67428
-1367.924903,1001,554.83079
-1688.580057,1001,557.021416
-1146.393818,1001,559.076704
-2066.944483,1001,561.081147
-1413.107336,1001,563.311775
-1608.652167,1001,565.495806
-1597.351479,1001,567.557241
-1853.064607,1001,569.746291
-1063.133217,1001,571.81473
