#{"t_start": 1567194193.5850146, "env_id": null}
r,l,t
-1546.492176,1001,6.521201
-1366.431588,1001,10.771741
-1239.528474,1001,14.991661
-1168.289419,1001,19.185835
-1213.221955,1001,23.371666
-1002.454954,1001,27.616634
-1674.777711,1001,31.878205
-1052.694478,1001,36.138806
-1722.4933,1001,40.459262
-1174.480356,1001,44.772364
-1795.801709,1001,48.932788
-1191.920756,1001,53.193239
-540.878066,1001,57.453826
-679.116171,1001,61.618746
-1461.282179,1001,65.90513
-991.213221,1001,70.141712
-333.597244,1001,74.405551
-600.980956,1001,78.663442
-1514.461829,1001,82.901116
-573.253851,1001,87.1515
-777.087066,1001,91.430749
-343.147399,1001,95.667354
-438.876782,1001,99.986427
-388.898073,1001,104.231264
-505.064783,1001,108.45499
-457.431122,1001,112.720743
-568.53947,1001,116.91902
-450.792227,1001,121.18692
-633.055291,1001,125.432575
-560.300068,1001,129.669166
-451.111402,1001,133.947319
-523.061811,1001,138.23994
-546.047682,1001,142.481932
-788.017473,1001,146.7162
-505.868034,1001,150.945128
-425.844635,1001,155.285966
-432.832796,1001,159.545659
-578.730081,1001,163.817654
-487.245618,1001,168.082483
-644.565404,1001,172.303409
-550.75482,1001,176.585769
-537.690106,1001,180.848885
-383.818841,1001,185.087844
-484.299927,1001,189.372088
-415.175042,1001,193.716972
-688.343429,1001,197.968808
-732.274152,1001,202.228191
-765.505176,1001,206.470612
-508.978757,1001,210.794968
-619.731028,1001,215.079895
-683.465499,1001,219.357316
-605.350405,1001,223.659806
-598.290602,1001,227.935519
-685.720629,1001,232.223867
-492.124855,1001,236.484118
-656.786154,1001,240.713632
-482.505633,1001,244.986604
-518.813258,1001,249.265129
-682.018091,1001,253.547121
-562.809031,1001,257.878616
-718.082426,1001,262.212694
-655.031736,1001,266.465338
-665.478013,1001,270.733452
-742.487088,1001,275.001874
-913.073653,1001,279.233407
-824.059141,1001,283.553681
-733.295066,1001,287.846465
-866.156311,1001,292.074894
-811.165321,1001,296.328806
-621.583069,1001,300.70647
-535.451845,1001,305.034021
-593.56046,1001,309.247477
-967.423957,1001,313.490563
-514.619625,1001,317.839071
-534.985592,1001,322.108221
-554.050286,1001,326.443821
-589.538523,1001,330.801674
-457.847206,1001,335.125715
-434.218616,1001,339.423641
-430.197895,1001,343.779264
-581.276293,1001,348.14926
-514.341593,1001,352.434067
-354.504653,1001,356.700628
-560.508862,1001,361.033438
-616.894115,1001,365.332532
-352.043709,1001,369.661829
-429.979716,1001,373.979319
-412.334298,1001,378.31119
-402.015747,1001,382.6143
-700.264148,1001,386.962
-461.249541,1001,391.294189
-459.450182,1001,395.605176
-486.960673,1001,399.895464
-447.322456,1001,404.131824
-451.330237,1001,408.481031
-611.42089,1001,412.765061
-340.431858,1001,417.077392
-422.818583,1001,421.421296
-642.317897,1001,425.788778
-496.679023,1001,430.110333
-564.951031,1001,434.431642
-419.193518,1001,438.7853
-553.123933,1001,443.087772
-476.548822,1001,447.410457
-391.728811,1001,451.718544
-461.582623,1001,455.984248
-546.822423,1001,460.246479
-490.645172,1001,464.553574
-409.921445,1001,468.823219
-547.023459,1001,473.098274
-633.989917,1001,477.439528
-320.266639,1001,481.760606
-522.04211,1001,486.07661
-364.570706,1001,490.425832
-543.567189,1001,494.702977
-549.798531,1001,499.052022
-616.091417,1001,503.338945
-761.770465,1001,507.650995
-551.429287,1001,511.923776
-418.181051,1001,516.281051
-173.326158,1001,520.564064
-447.853285,1001,524.890356
-819.997251,1001,529.139448
-447.541882,1001,533.477543
-460.67102,1001,537.893053
-418.643207,1001,542.162087
-500.795504,1001,546.485633
-276.288463,1001,550.757296
-529.907645,1001,555.000977
-338.767532,1001,559.318645
-666.262865,1001,563.550955
-393.49729,1001,567.833808
-452.088908,1001,572.089498
-334.486465,1001,576.462081
-318.639333,1001,580.7697
-449.777113,1001,585.074644
-565.85752,1001,589.395586
-356.380383,1001,593.714672
-317.493976,1001,597.991004
-352.479598,1001,602.258882
-352.453466,1001,606.544009
-383.042451,1001,610.866916
-395.776246,1001,615.189738
-414.298632,1001,619.457048
-571.607014,1001,623.727068
-365.135704,1001,627.991974
-380.016049,1001,632.285331
-344.699738,1001,636.554346
-397.644404,1001,640.844673
-348.363785,1001,645.116651
-431.345819,1001,649.421916
-394.599587,1001,653.765042
-312.504812,1001,658.189435
-378.785947,1001,662.465919
-326.681995,1001,666.771523
-332.910717,1001,671.109743
-303.084494,1001,675.442574
-346.89891,1001,679.809378
-276.529253,1001,684.105611
-177.464319,1001,688.421447
-341.940108,1001,692.719376
-235.698272,1001,697.011102
-310.576323,1001,701.335291
-351.016251,1001,705.705095
-357.34144,1001,710.020538
-80.292704,1001,714.271869
-364.018014,1001,718.599221
-132.164949,1001,722.900693
-309.81582,1001,727.211474
-258.047926,1001,731.51379
-254.242369,1001,735.885284
-304.508839,1001,740.232878
-241.482159,1001,744.521456
-501.144088,1001,748.868937
-256.891662,1001,753.062794
-281.324067,1001,757.367198
-433.602098,1001,761.629698
-322.349755,1001,765.894997
-312.395795,1001,770.161422
-566.978244,1001,774.379802
-567.516839,1001,778.682335
-320.732618,1001,782.993326
-538.099238,1001,787.253984
-545.95655,1001,791.533852
-564.34183,1001,795.787232
-582.097281,1001,800.031842
-437.286957,1001,804.320956
-241.131476,1001,808.66657
-410.543736,1001,812.920636
-296.350179,1001,817.223001
-331.927415,1001,821.483173
-506.109261,1001,825.821595
-386.232632,1001,830.04393
-471.082899,1001,834.351984
-492.809025,1001,838.552441
-568.243893,1001,842.867116
-531.469349,1001,847.149673
-476.967296,1001,851.403293
-480.3095,1001,855.656638
-416.240478,1001,859.938145
-414.250174,1001,864.183877
-571.291282,1001,868.513616
-533.52717,1001,872.770647
-553.808189,1001,877.047985
-579.121548,1001,881.323199
-532.314101,1001,885.609373
-406.936231,1001,889.938435
-413.877117,1001,894.203554
-587.053446,1001,898.527614
-606.226418,1001,902.891962
-506.486933,1001,907.295862
-516.125942,1001,911.58291
-431.427624,1001,915.808077
-477.714369,1001,920.010368
-479.700231,1001,924.179599
-495.580848,1001,928.382572
-489.5636,1001,932.541105
-269.571802,1001,936.754339
-550.749354,1001,940.957972
-458.400452,1001,945.196603
-440.476438,1001,949.381965
-452.503876,1001,953.570797
-635.424716,1001,957.786041
-396.993734,1001,961.971007
-527.921739,1001,966.212336
-421.188468,1001,970.392683
-746.442198,1001,974.564289
-369.993207,1001,978.815191
-413.687628,1001,983.010581
-392.771326,1001,987.215285
-461.433939,1001,991.398095
-327.439881,1001,995.58498
-365.826158,1001,999.780767
-320.607333,1001,1004.167347
-319.930377,1001,1008.513279
-392.679079,1001,1012.700392
-400.749092,1001,1016.989509
-470.89418,1001,1021.237493
-341.51739,1001,1025.446725
-298.816979,1001,1029.603986
-384.248863,1001,1033.819873
-323.614016,1001,1038.058875
-451.280483,1001,1042.25374
-329.176327,1001,1046.399708
-387.823112,1001,1050.650659
-325.533137,1001,1054.840971
-412.300652,1001,1059.048044
-318.515388,1001,1063.255375
-352.55258,1001,1067.50243
-410.849366,1001,1071.716765
-330.417359,1001,1075.921882
-285.425337,1001,1080.131941
-379.034146,1001,1084.362555
-239.527764,1001,1088.568202
-425.517001,1001,1092.738751
-359.132493,1001,1096.879988
-262.555191,1001,1101.078552
-395.320137,1001,1105.224403
-431.138332,1001,1109.376075
-369.730604,1001,1113.520229
-227.262493,1001,1117.696041
-378.08387,1001,1121.842865
-337.308592,1001,1126.026859
-336.489585,1001,1130.172246
-308.179335,1001,1134.395383
-348.559186,1001,1138.585953
-268.958053,1001,1142.731615
-257.674435,1001,1146.951173
-298.244064,1001,1151.177174
-389.008626,1001,1155.381891
-302.423219,1001,1159.572898
-384.727481,1001,1163.767368
-344.417953,1001,1168.015102
-344.140976,1001,1172.182917
-358.386076,1001,1176.361809
-320.727407,1001,1180.568242
-220.240918,1001,1184.730166
-346.224238,1001,1188.951513
-255.437186,1001,1193.183539
-346.258158,1001,1197.404914
-373.986896,1001,1201.594537
-307.056837,1001,1205.835514
-196.413403,1001,1210.158992
-403.419103,1001,1214.419608
-317.594578,1001,1218.642841
-372.923169,1001,1222.841148
-296.166643,1001,1227.023268
-303.506524,1001,1231.249129
-447.213813,1001,1235.458838
-316.168701,1001,1239.670647
-195.422598,1001,1243.878961
-369.102049,1001,1248.07609
-54.351803,1001,1252.316938
-452.885767,1001,1256.519428
-427.856375,1001,1260.736169
-398.766149,1001,1264.934991
-229.041069,1001,1269.139424
-127.339056,1001,1273.421479
-153.931891,1001,1277.609668
-237.174999,1001,1281.846011
-577.765367,1001,1286.050589
-364.29831,1001,1290.267399
-363.849818,1001,1294.462188
-548.497466,1001,1298.700986
-292.457268,1001,1302.874123
-292.037861,1001,1307.092048
-603.96289,1001,1311.384074
-1483.717823,1001,1315.531903
-359.854786,1001,1319.74007
-400.500654,1001,1323.900871
-340.059391,1001,1328.083026
-398.33597,1001,1332.226103
-365.548969,1001,1336.403622
-335.509392,1001,1340.659615
-473.125019,1001,1344.887808
-279.154613,1001,1349.102422
-338.338811,1001,1353.293162
-348.896833,1001,1357.51917
-394.901903,1001,1361.748576
-389.512946,1001,1365.980647
-426.078889,1001,1370.149938
-272.520822,1001,1374.343785
-388.788515,1001,1378.552537
-398.409078,1001,1382.790015
-212.682336,1001,1387.027961
-409.499011,1001,1391.220133
-241.973968,1001,1395.44954
-405.848356,1001,1399.665485
-280.495242,1001,1403.911685
-406.638756,1001,1408.105159
-429.783744,1001,1412.292495
-369.187887,1001,1416.527231
-249.101136,1001,1420.772215
-370.252914,1001,1424.966459
-343.741963,1001,1429.16704
-534.916382,1001,1433.400794
-228.445216,1001,1437.60253
-345.457352,1001,1441.840497
-484.951997,1001,1446.087444
-385.867601,1001,1450.309241
-200.814516,1001,1454.493433
-418.591856,1001,1458.742852
-411.747603,1001,1462.947519
-397.689934,1001,1467.177442
