#{"t_start": 1561800933.9081554, "env_id": null}
r,l,t
-178.449847,1001,1.474267
-201.417623,1001,1.474281
-203.711678,1001,1.474318
-196.217827,1001,1.474377
-217.915412,1001,1.474298
-277.752558,1001,2.315217
-257.862203,1001,2.315254
-286.052156,1001,2.31528
-284.22075,1001,2.315621
-294.388903,1001,2.315641
-269.233631,1001,3.192591
-230.980583,1001,3.192611
-212.685209,1001,3.192631
-247.932242,1001,3.192653
-204.193338,1001,3.192703
-189.228786,1001,4.090018
-189.119381,1001,4.090057
-243.019291,1001,4.090066
-189.527658,1001,4.09008
-198.526226,1001,4.090086
-410.871304,1001,4.93562
-398.288166,1001,4.935642
-382.877772,1001,4.935664
-437.427118,1001,4.935673
-422.917733,1001,4.93568
-159.387409,1001,5.750892
-162.763598,1001,5.750938
-161.623715,1001,5.75091
-170.424737,1001,5.750966
-154.664648,1001,5.750965
-281.893144,1001,6.537977
-274.810043,1001,6.538002
-278.844707,1001,6.538057
-280.709484,1001,6.538098
-280.546704,1001,6.538031
-101.559196,1001,7.325032
-99.108534,1001,7.325043
-108.450546,1001,7.325064
-106.986943,1001,7.325116
-107.684315,1001,7.325246
-243.360813,1001,8.749158
-239.355457,1001,8.749179
-249.214223,1001,8.749249
-240.596385,1001,8.749282
-249.051141,1001,8.749311
-496.836258,1001,10.157813
-546.080335,1001,10.157877
-504.234798,1001,10.157885
-489.840279,1001,10.157933
-530.189817,1001,10.157942
-144.964919,1001,11.574371
-139.840385,1001,11.574408
-133.860689,1001,11.574449
-142.992408,1001,11.57447
-136.533417,1001,11.574493
-319.483658,1001,12.953543
-346.615807,1001,12.953598
-325.394903,1001,12.953607
-310.660076,1001,12.953623
-318.706711,1001,12.953692
-105.007545,1001,14.37063
-100.92699,1001,14.370694
-111.749174,1001,14.370732
-111.96488,1001,14.370757
-114.399635,1001,14.370785
-107.708235,1001,15.77788
-107.532426,1001,15.777915
-117.89301,1001,15.777935
-112.590288,1001,15.777943
-107.596402,1001,15.777993
-317.274619,1001,17.189301
-283.339246,1001,17.189409
-326.058472,1001,17.189443
-314.333457,1001,17.189466
-272.395407,1001,17.18947
-213.342798,1001,18.612293
-201.108605,1001,18.61236
-210.904884,1001,18.612362
-204.932207,1001,18.612383
-210.967658,1001,18.612453
-119.818629,1001,19.982786
-117.480377,1001,19.982791
-121.129302,1001,19.982838
-114.890575,1001,19.982859
-130.226104,1001,19.982875
-128.378079,1001,21.393941
-132.63326,1001,21.393956
-128.37195,1001,21.394009
-115.365334,1001,21.394028
-125.956836,1001,21.394072
-190.592032,1001,24.121512
-172.611395,1001,24.121643
-178.989557,1001,24.12165
-168.559733,1001,24.121717
-165.488025,1001,24.121784
-136.776,1001,25.71498
