#{"t_start": 1567228790.9651794, "env_id": null}
r,l,t
-2209.443193,1001,5.077077
-2031.20305,1001,7.953586
-1641.321127,1001,10.8332
-1641.391487,1001,13.714482
-2144.401531,1001,16.582437
-2147.263686,1001,19.482938
-1466.510055,1001,22.386974
-994.400402,1001,25.270147
-1786.464207,1001,28.165848
-1436.081035,1001,31.066654
-1195.558147,1001,33.976192
-2409.559428,1001,36.865643
-1928.03537,1001,39.770901
-1625.694093,1001,42.676662
-2255.440337,1001,45.570987
-2093.469828,1001,48.448102
-1753.844124,1001,51.378507
-1586.632254,1001,54.278739
-1661.320641,1001,57.166337
-841.192187,1001,60.03954
-2007.619479,1001,62.926538
-1719.222127,1001,65.814179
-1526.914385,1001,68.725175
-1933.616865,1001,71.608536
-1661.930572,1001,74.510624
-1351.63879,1001,77.412352
-1919.766278,1001,80.290123
-1662.040377,1001,83.192032
-2321.919692,1001,86.083349
-1028.615189,1001,88.969671
-1260.828096,1001,91.846178
-1919.055553,1001,94.73209
-1382.733179,1001,97.619526
-2195.039029,1001,100.51692
-2092.909584,1001,103.441499
-1575.071618,1001,106.344738
-1554.013867,1001,109.256435
-1554.533173,1001,112.158385
-2135.071271,1001,115.033015
-1651.865912,1001,117.928089
-2167.361033,1001,120.827855
-2053.684582,1001,123.7153
-1189.125427,1001,126.623493
-2588.430572,1001,129.526533
-1834.49068,1001,132.442092
-2154.443292,1001,135.329536
-1984.264815,1001,138.225518
-1820.723304,1001,141.113665
-1581.898156,1001,144.014845
-2473.650461,1001,146.918077
-2252.973877,1001,149.808507
-1750.579381,1001,152.696428
-2385.201051,1001,155.604419
-1089.285001,1001,158.51027
-1667.808557,1001,161.430629
-1778.184996,1001,164.308481
-1759.583151,1001,167.212692
-1880.350211,1001,170.115984
-1351.346662,1001,173.01738
-1482.083002,1001,175.931693
-2399.761273,1001,178.851146
-2009.601183,1001,181.748924
-1604.448725,1001,184.655048
-1739.683916,1001,187.5591
-1074.583067,1001,190.444018
-1985.265613,1001,193.358459
-1983.147612,1001,196.238315
-1764.274484,1001,199.141663
-1807.796989,1001,202.022268
-1227.952927,1001,204.926786
-1807.851777,1001,207.83751
-935.648589,1001,210.731878
-1702.843275,1001,213.616697
-2092.940838,1001,216.493809
-1824.496924,1001,219.41379
-1413.185196,1001,222.305841
-2604.656481,1001,225.218983
-2581.873253,1001,228.122687
-1180.641023,1001,231.012498
-1552.278423,1001,233.899345
-1945.339289,1001,236.79408
-1950.637114,1001,239.697305
-2295.963842,1001,242.61363
-1958.558613,1001,245.499167
-917.042328,1001,248.433429
-1669.992643,1001,251.351904
-2375.046435,1001,254.279948
-1541.088033,1001,257.175691
-2337.703472,1001,260.105419
-2275.145746,1001,263.005563
-1867.802658,1001,265.904038
-1832.691743,1001,268.809098
-2317.560801,1001,271.699591
