#{"t_start": 1568540642.6840672, "env_id": null}
r,l,t
-9402.235873,1001,18.641863
-7465.383495,1001,33.804977
-10676.613972,1001,49.289984
-7784.832081,1001,64.329444
-8938.6474,1001,80.035769
-5419.531826,1001,95.110604
-7513.861256,1001,110.687733
-11250.68829,1001,126.213733
-2423.110586,1001,141.916107
-8441.800078,1001,157.428319
-5966.726341,1001,172.952085
-2499.960572,1001,188.499541
-610.011853,1001,204.245558
-547.120875,1001,219.319294
-529.824793,1001,234.592885
-1320.906242,1001,249.809924
-800.73969,1001,265.481197
-977.711261,1001,281.03236
-8176.350694,1001,296.552586
-777.430955,1001,312.039618
-1800.302163,1001,327.908806
-2281.802826,1001,343.505261
-3349.535005,1001,358.603215
-1833.11426,1001,374.487644
-1971.409472,1001,390.008629
-2042.690496,1001,405.195757
-3418.216498,1001,420.807129
-1714.289035,1001,436.32048
-3436.221364,1001,452.027349
-943.128698,1001,467.286559
-965.60899,1001,482.583219
-549.773088,1001,498.31
-2123.170231,1001,514.048308
-2875.548311,1001,529.919241
-3550.787133,1001,545.511144
-1315.089926,1001,561.191689
-1006.140145,1001,576.747168
-873.831632,1001,592.037
-545.681027,1001,607.348065
-867.348287,1001,622.894014
-600.976954,1001,638.226177
-1447.156301,1001,653.487136
-856.291929,1001,668.860692
-928.474476,1001,684.523171
-621.332484,1001,700.310368
-1611.661781,1001,716.208183
-981.881855,1001,731.435936
-374.032495,1001,746.423433
-932.448037,1001,761.968579
-423.526707,1001,777.659122
-949.202855,1001,793.123068
-402.679904,1001,808.87427
-455.370461,1001,824.175622
-1021.528083,1001,840.065583
-556.381028,1001,855.781312
-886.162353,1001,871.277586
-214.741302,1001,887.155371
-845.005033,1001,902.848118
-390.660236,1001,918.575385
-418.346209,1001,934.088705
-824.511789,1001,949.311707
-521.40354,1001,965.233319
-907.274647,1001,980.948345
-615.342065,1001,996.228123
-598.123298,1001,1011.939978
-332.687293,1001,1027.148816
-530.634957,1001,1043.147314
-350.671055,1001,1058.706899
-332.401011,1001,1074.523334
-516.197277,1001,1090.092029
-810.829305,1001,1105.992619
-463.163506,1001,1121.380762
-754.029303,1001,1137.242363
-700.536923,1001,1153.213521
-294.840963,1001,1169.07218
-570.149538,1001,1184.951276
-1000.030092,1001,1200.665093
-221.395652,1001,1216.344647
-741.149483,1001,1232.158921
-298.047109,1001,1247.970597
-397.686295,1001,1263.89364
-518.344542,1001,1279.593539
-604.950001,1001,1295.470656
-1357.282813,1001,1310.973262
-246.650945,1001,1326.952207
-150.554737,1001,1343.056893
-596.68211,1001,1358.563811
-591.93071,1001,1374.279346
-213.303236,1001,1389.977665
-498.03193,1001,1405.821015
-247.280324,1001,1421.4447
-526.93685,1001,1436.85718
-495.168045,1001,1452.711289
-582.346557,1001,1468.490368
-668.4826,1001,1484.4502
-240.698683,1001,1500.496447
-229.492757,1001,1516.039618
-417.137209,1001,1531.996137
-350.501068,1001,1547.650299
-359.545561,1001,1563.334725
-619.39301,1001,1579.34588
-460.414278,1001,1595.247234
-888.803098,1001,1610.936188
-484.483343,1001,1626.91045
-711.044422,1001,1642.773209
-214.555551,1001,1658.579917
-181.433366,1001,1674.518773
-138.045826,1001,1690.343425
-577.319687,1001,1705.885215
-1133.866373,1001,1721.664302
-186.384871,1001,1737.959292
-1030.801272,1001,1753.772976
-875.203664,1001,1769.243811
-417.051605,1001,1785.207296
-275.507992,1001,1800.866202
-865.250367,1001,1816.690374
-217.869944,1001,1832.463265
-392.059141,1001,1848.666937
-305.688029,1001,1864.825834
-834.604841,1001,1880.908493
-501.822845,1001,1896.639037
-569.949014,1001,1912.299799
-369.600308,1001,1928.568473
-412.923967,1001,1944.415254
-466.213447,1001,1960.181219
-529.087417,1001,1975.663525
-327.583803,1001,1991.365653
-318.465848,1001,2007.452063
-611.586521,1001,2023.228891
-647.091869,1001,2038.940308
-311.72917,1001,2054.482897
-763.62105,1001,2069.965168
-550.403244,1001,2085.470919
-331.010517,1001,2101.00856
-301.783777,1001,2116.338838
-699.763249,1001,2131.918324
-290.03022,1001,2147.538662
-275.403993,1001,2163.332877
-438.585315,1001,2178.803751
-530.874691,1001,2194.55237
-708.807298,1001,2210.439219
-505.098048,1001,2226.188444
-616.449267,1001,2242.093365
-189.826645,1001,2257.888715
-668.012031,1001,2273.325687
-276.68312,1001,2288.956711
-156.555262,1001,2304.405253
-279.571046,1001,2320.044828
-298.395273,1001,2335.704521
-114.5013,1001,2351.283047
-138.913848,1001,2366.481149
-490.711377,1001,2381.992517
-360.164254,1001,2397.572859
-226.509656,1001,2413.423325
-165.772653,1001,2428.786737
-582.258726,1001,2444.333945
-245.722884,1001,2460.130622
-248.076655,1001,2475.504331
-413.284715,1001,2491.164202
-139.871864,1001,2506.985857
-190.208157,1001,2522.791864
-627.591367,1001,2538.527135
-1193.350422,1001,2554.217482
-256.027798,1001,2569.935162
-249.394959,1001,2585.653112
-705.855125,1001,2601.647829
-334.348269,1001,2616.959754
-92.415513,1001,2632.562971
-351.128543,1001,2648.310983
-365.026538,1001,2663.947387
-124.821946,1001,2679.491716
-451.295298,1001,2695.223344
-239.627041,1001,2710.760035
-421.074819,1001,2726.804301
-271.073142,1001,2742.878322
-395.748644,1001,2758.961174
-227.266809,1001,2774.629949
-183.878776,1001,2790.112732
-122.174385,1001,2805.58613
-154.99297,1001,2821.199178
-305.555685,1001,2836.849739
-304.58584,1001,2852.37646
-279.068639,1001,2868.184555
-130.416829,1001,2884.104342
-230.73105,1001,2899.666292
-618.201955,1001,2915.167484
-182.128933,1001,2930.940399
-120.339146,1001,2946.356346
-525.903153,1001,2962.021812
-215.159898,1001,2977.432286
-157.293961,1001,2993.273695
-233.369546,1001,3008.795799
-309.118524,1001,3024.372776
-404.848673,1001,3039.931971
-284.228479,1001,3055.198351
-548.600207,1001,3070.650107
-348.196476,1001,3085.950489
