#{"t_start": 1567802911.7138343, "env_id": null}
r,l,t
-4179.887046,1001,3.280015
-6072.97044,1001,5.783124
-5724.535865,1001,8.30548
-6077.792849,1001,10.819988
-7838.591954,1001,13.341861
-6790.79567,1001,15.884837
-6916.598449,1001,18.435289
-8646.595097,1001,20.935584
-8495.588306,1001,23.446322
-5774.680961,1001,25.953919
-4389.480319,1001,28.457477
-9153.491858,1001,30.999966
-4296.150221,1001,33.513789
-6733.27932,1001,36.069296
-7817.412555,1001,38.581072
-6514.558492,1001,41.106686
-5492.717953,1001,43.631663
-7117.169129,1001,46.146749
-5038.688098,1001,48.682332
-7102.861745,1001,51.195978
-4673.181486,1001,53.71956
-7235.324754,1001,56.229291
-4936.659258,1001,58.742296
-4237.276405,1001,61.33279
-4773.85457,1001,63.844584
-4093.526036,1001,66.360297
-4694.020217,1001,68.87197
-4107.466956,1001,71.366313
-4091.442395,1001,73.879244
-5550.286489,1001,76.398517
-5235.14254,1001,78.926954
-4262.044646,1001,81.436975
-4311.748215,1001,83.967419
-4411.520515,1001,86.470075
-4105.826851,1001,88.99347
-3835.74215,1001,91.507226
-4877.048938,1001,94.117739
-2811.271503,1001,96.676007
-2972.862375,1001,99.206473
-2990.227574,1001,101.72145
-3855.851051,1001,104.242305
-2816.345065,1001,106.756874
-4350.088001,1001,109.323094
-3993.437782,1001,111.835715
-3332.955019,1001,114.339299
-4054.851628,1001,116.911995
-2959.467282,1001,119.513245
-3120.1073,1001,122.109273
-3867.091112,1001,124.720831
-2482.134165,1001,127.287957
-3077.77751,1001,129.796251
-2766.188925,1001,132.40545
-2764.723307,1001,135.057067
-3486.00334,1001,137.573781
-3289.290822,1001,140.096534
-2340.803475,1001,142.616918
-2475.840683,1001,145.22559
-2946.126301,1001,147.839647
-2347.283844,1001,150.382626
-2679.558564,1001,152.94163
-3322.232045,1001,155.505652
-2755.181204,1001,158.068345
-3314.926053,1001,160.584544
-3439.541838,1001,163.160887
-3487.374127,1001,165.729349
-1846.527569,1001,168.257069
-2985.279738,1001,170.773584
-3702.314817,1001,173.297289
-3196.443642,1001,175.819799
-2579.838314,1001,178.452467
-2335.031085,1001,180.98672
-2219.414143,1001,183.747308
-1931.251631,1001,186.485834
-2715.601722,1001,189.138998
-2647.385024,1001,191.70457
-2507.212424,1001,194.302492
-2588.26305,1001,196.830229
-2183.572236,1001,199.503626
-1719.720563,1001,202.07003
-2036.779756,1001,204.769595
-2014.48285,1001,207.347604
-1621.563821,1001,209.91467
-2141.417168,1001,212.495289
-2221.84221,1001,215.032548
-2572.199259,1001,217.554375
-2247.943786,1001,220.079139
-2931.966957,1001,222.710517
-1549.90917,1001,225.338088
-1657.55917,1001,228.004781
-1794.026799,1001,230.570369
-1898.426853,1001,233.150647
-1940.353912,1001,235.843252
-2289.411419,1001,238.436941
-1427.155667,1001,241.133792
-2277.567918,1001,243.841195
-1562.504112,1001,246.43152
-1898.784835,1001,248.981846
-1595.711698,1001,251.554103
-2940.549117,1001,254.138263
-1607.962174,1001,256.701202
-1264.095353,1001,259.2995
-1303.338177,1001,261.907218
-2263.170508,1001,264.505506
-2492.864678,1001,267.024367
-1330.565744,1001,269.555466
-1371.543141,1001,272.135437
-1189.920863,1001,274.701064
-1970.238117,1001,277.272973
-1263.021064,1001,279.83688
-1602.542294,1001,282.451453
-2768.685131,1001,285.081973
-2125.593255,1001,287.762177
-1226.770137,1001,290.40751
-2510.308834,1001,293.071521
-2655.858996,1001,295.785897
-1707.231584,1001,298.522916
-1316.325708,1001,301.239594
-1879.03333,1001,303.93771
-1294.498973,1001,306.627603
-1133.723464,1001,309.331144
-1798.229937,1001,311.868806
-1442.076501,1001,314.487305
-1478.91996,1001,317.220619
-1677.835932,1001,319.836872
-614.32428,1001,322.38465
-1538.429963,1001,325.012405
-1229.218739,1001,327.610483
-1062.084498,1001,330.154002
-1464.555822,1001,332.673224
-2215.827488,1001,335.334399
-1544.062172,1001,337.937173
-1117.82496,1001,340.540264
-1363.771567,1001,343.083452
-784.46656,1001,345.631323
-1344.524477,1001,348.160877
-1100.051093,1001,350.721926
-1159.865764,1001,353.254547
-1934.474034,1001,355.817592
-1032.458708,1001,358.448537
-1282.219566,1001,361.255271
-1715.531982,1001,363.886682
-831.076419,1001,366.516768
-931.375125,1001,369.087968
-747.327775,1001,371.734135
-637.961037,1001,374.31447
-999.680126,1001,376.955803
-1687.549078,1001,379.607339
-1312.045181,1001,382.202735
-1718.613761,1001,384.744878
-526.458736,1001,387.277194
-1616.780021,1001,389.816958
-1409.539882,1001,392.340942
-1443.282658,1001,394.874831
-854.177217,1001,397.525009
-1057.784955,1001,400.203764
-1472.72808,1001,402.868838
-1239.772441,1001,405.500441
-1164.697135,1001,408.161324
-985.637075,1001,410.790943
-916.716768,1001,413.33173
-1062.313089,1001,415.95097
-1022.237497,1001,418.471068
-892.082665,1001,421.025578
-318.736976,1001,423.611038
-950.057953,1001,426.14265
-1346.940132,1001,428.685426
-795.834504,1001,431.26342
-1098.206159,1001,433.873826
-831.404646,1001,436.481387
-1125.705015,1001,439.024674
-960.970328,1001,441.567844
-859.020623,1001,444.107113
-788.370116,1001,446.644577
-1111.171594,1001,449.201668
-1051.057115,1001,451.78149
-845.330379,1001,454.44482
-593.082867,1001,457.006009
-696.743949,1001,459.545029
-867.702233,1001,462.117079
-817.430852,1001,464.662694
-1011.592995,1001,467.194374
-566.541241,1001,469.73797
-852.087037,1001,472.459563
-313.151708,1001,475.122319
-664.203074,1001,477.750423
-812.10614,1001,480.36687
-918.955926,1001,482.904733
-668.039107,1001,485.437392
-843.949324,1001,487.966341
-693.712164,1001,490.493814
-1125.54231,1001,493.026674
-710.627088,1001,495.555562
-861.51795,1001,498.098254
-944.649726,1001,500.646835
-730.91274,1001,503.405105
-783.383622,1001,506.095315
