#{"t_start": 1567806013.0319371, "env_id": null}
r,l,t
-6387.975124,1001,6.065764
-5254.941197,1001,11.247654
-5642.200828,1001,16.16076
-4818.246538,1001,21.231637
-3249.263054,1001,26.242067
-6691.511613,1001,31.863253
-6939.628892,1001,36.82063
-5556.020904,1001,41.671256
-4111.427908,1001,46.41836
-7103.92432,1001,51.687417
-3755.402821,1001,56.608067
-4477.493326,1001,61.194712
-6377.815262,1001,65.701863
-4971.774275,1001,70.622148
-7077.137988,1001,75.247325
-5681.12418,1001,80.033624
-7203.598866,1001,85.449148
-5200.66219,1001,91.497077
-4637.123465,1001,97.476065
-4175.053795,1001,103.027087
-5812.885151,1001,108.748335
-4362.897025,1001,114.826622
-2838.343261,1001,120.027348
-2888.188454,1001,126.654992
-3828.175087,1001,132.286754
-3370.946789,1001,137.911274
-2347.737637,1001,142.670692
-3971.359468,1001,152.63844
-3642.048209,1001,166.356265
-4086.957624,1001,179.000622
-1842.867667,1001,193.462682
-4157.930804,1001,209.049859
-3739.795657,1001,221.928243
-5908.688839,1001,235.109463
-3399.118536,1001,251.052702
-4379.961774,1001,266.286138
