Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
3000,1.4184084,0.00029955019,-0.049942445,0.34906247502658516,0.3490624791011214,999.5,0.016511038,0.021304674
6000,1.4170762,0.00029865018,-0.055431575,0.3122916443971917,0.31229164843292284,1000.0,0.005006554,0.015754335
9000,1.4165965,0.00029775014,-0.03281178,0.16791665588971227,0.16791665573449185,1000.0,0.0021247296,0.021286104
12000,1.4165202,0.00029685016,-0.017860595,0.12541666141866395,0.125416659982875,1000.0,0.0011041102,0.018006014
15000,1.417022,0.0002959502,-0.011963934,0.08645832744271804,0.08645832794718444,1000.0,0.00079884334,0.01683568
18000,1.4172139,0.00029505018,-0.001134307,0.11374999450830121,0.11374999303370714,1000.0,0.00062893843,0.016306013
21000,1.415927,0.00029415014,0.016607925,0.27145831116164726,0.2714583141108354,1000.0,0.0009708949,0.016342716
24000,1.4154912,0.00029325017,0.02585917,0.514999964235661,0.5149999658654755,1000.0,0.0012144318,0.017102806
27000,1.4146937,0.00029235016,0.041993957,0.8989582830496753,0.8989582759095356,1000.0,0.0020836687,0.017547447
30000,1.4146602,0.00029145018,0.06921214,1.2560415916377679,1.2560415841095771,1000.0,0.0031192624,0.015764153
33000,1.4136564,0.00029055015,0.09670467,1.5510415627310674,1.5510415637788053,1000.0,0.0033527403,0.020821754
36000,1.4126517,0.00028965017,0.13156176,2.2043748648138717,2.204374851852966,1000.0,0.0048245597,0.018264484
39000,1.41063,0.00028875016,0.17217492,2.4939581441382566,2.493958159854325,1000.0,0.0062533487,0.017873172
42000,1.4082526,0.00028785018,0.22593264,3.4447913968469948,3.4447914217986786,1000.0,0.009711338,0.017419405
45000,1.4054348,0.00028695018,0.27802023,3.912708090695863,3.9127080517743402,1000.0,0.01099531,0.01742784
48000,1.4040992,0.00028605017,0.35677123,4.939582993703273,4.939582975426068,1000.0,0.016528444,0.01643168
51000,1.4014069,0.00028515016,0.43812168,5.534791287073555,5.534791267748612,1000.0,0.018916167,0.019437006
54000,1.3989615,0.00028425016,0.54897594,6.918957814419021,6.918957819308464,1000.0,0.02352148,0.015451398
57000,1.3957356,0.00028335015,0.6495164,7.773749377850133,7.773749420070089,1000.0,0.028862465,0.018998299
60000,1.3923763,0.00028245017,0.78316903,9.127291015116498,9.127290955007387,1000.0,0.034751255,0.017973617
63000,1.3882539,0.00028155016,0.9127515,10.479999166370058,10.47999918270701,1000.0,0.04407672,0.019419558
66000,1.3852588,0.0002806502,1.0939482,12.347290502356676,12.347290683809357,1000.0,0.05165066,0.020922251
69000,1.3812335,0.00027975018,1.2538286,13.603748634069538,13.603748911021588,1000.0,0.06267686,0.021667432
72000,1.3780798,0.00027885017,1.4764491,15.338331792037934,15.338332075354023,1000.0,0.07280363,0.018425839
75000,1.3736341,0.00027795017,1.660369,16.769581511461485,16.769581943401136,1000.0,0.081151694,0.01615102
78000,1.3705779,0.0002770502,1.9003778,18.759998112684116,18.759998417265404,1000.0,0.08873672,0.01898335
81000,1.3671359,0.00027615018,2.0920432,20.12791442886616,20.127914964648273,1000.0,0.09918648,0.017919976
84000,1.3634983,0.00027525018,2.3308494,22.305414156910654,22.305414763124038,1000.0,0.11090032,0.02086994
87000,1.3604349,0.00027435017,2.5272062,23.615622209385037,23.6156229445866,1000.0,0.122465104,0.016683126
90000,1.357264,0.0002734502,2.7735813,25.207497464803357,25.20749779390947,1000.0,0.13492067,0.018882267
93000,1.353567,0.00027255018,2.975911,26.89437199415018,26.89437258988619,1000.0,0.1496191,0.01692317
96000,1.3505535,0.00027165018,3.222681,28.07478892679016,28.074789142003283,1000.0,0.1632299,0.017628059
99000,1.3471869,0.0002707502,3.4328115,29.745205170164507,29.745205624184262,1000.0,0.1811184,0.017762579
102000,1.344064,0.00026985016,3.689525,30.917288372913998,30.91728880966548,1000.0,0.18486103,0.01839849
105000,1.3410208,0.00026895019,3.8951626,32.224579552809395,32.22458035549304,1000.0,0.20213431,0.016998898
108000,1.3378048,0.00026805018,4.150765,33.37020479391018,33.37020520268319,1000.0,0.21260564,0.016978545
111000,1.333979,0.00026715017,4.3653336,34.24916256032884,34.24916341605907,1000.0,0.23250532,0.016195191
114000,1.3312892,0.00026625016,4.638812,35.97124592152735,35.971246549044736,1000.0,0.24603753,0.017670583
117000,1.3276548,0.0002653502,4.818817,36.38520399915675,36.38520486097938,1000.0,0.26421908,0.017971478
120000,1.3235819,0.00026445018,5.110739,37.36103769081334,37.36103806753332,1000.0,0.2770861,0.0204439
123000,1.3202487,0.00026355017,5.2975745,37.586454256127276,37.58645470789634,1000.0,0.28518075,0.016089518
126000,1.3170414,0.00026265017,5.550593,38.55291258419553,38.55291290006911,1000.0,0.29635152,0.014648142
129000,1.3127006,0.0002617502,5.740401,39.07582869629065,39.07582949788775,1000.0,0.3230043,0.015953062
132000,1.3100154,0.00026085018,6.0016475,40.39645386363069,40.396454336238094,1000.0,0.34017837,0.019123191
135000,1.3072857,0.00025995017,6.1886325,40.547078700115286,40.547079343892015,1000.0,0.3561382,0.01814637
138000,1.3041236,0.00025905017,6.414203,41.34707877598703,41.34707920889681,1000.0,0.36260083,0.019064682
141000,1.3010732,0.0002581502,6.597988,41.66166208436092,41.66166251839604,1000.0,0.37789315,0.01752963
144000,1.2991066,0.00025725018,6.8279057,41.783537129561104,41.78353749149634,1000.0,0.3923959,0.017376745
147000,1.2968526,0.00025635018,6.987808,42.39353765795628,42.393537409758814,1000.0,0.41121122,0.018300215
150000,1.2952684,0.00025545017,7.1845956,42.92061992113789,42.920620660608016,1000.0,0.4234244,0.0143682575
153000,1.2936006,0.0002545502,7.3477345,43.058745152006544,43.05874565336853,1000.0,0.44656932,0.01889135
156000,1.2907478,0.00025365016,7.5808425,43.33207868412137,43.33207893375462,1000.0,0.47408754,0.018667605
159000,1.2871088,0.00025275018,7.7445016,44.024161564807095,44.024162169002615,1000.0,0.49594277,0.017601453
162000,1.2849696,0.00025185017,7.951326,44.629786195854344,44.62978709395975,1000.0,0.51604235,0.016384654
165000,1.2819402,0.00025095016,8.114764,44.67332832763592,44.6733287385044,1000.0,0.5209906,0.017304346
168000,1.279639,0.0002500502,8.314876,45.18499450137218,45.18499534549968,1000.0,0.54358953,0.0145312855
171000,1.2768406,0.00024915018,8.464904,45.3156194438537,45.31562030819865,1000.0,0.54786587,0.017674439
174000,1.2743578,0.00024825017,8.644786,45.2868694588542,45.28687031714556,1000.0,0.56149405,0.017533729
177000,1.2716457,0.00024735017,8.791229,45.57311969995499,45.57312026565584,1000.0,0.590516,0.01871331
180000,1.2702007,0.0002464502,8.930119,45.905410811305046,45.905411904794164,1000.0,0.61296386,0.0149225155
183000,1.2684927,0.00024555018,9.046113,45.84395322700342,45.843953596389234,1000.0,0.625918,0.016247336
186000,1.2674296,0.00024465017,9.166499,46.376661494374275,46.37666185087679,1000.0,0.6383326,0.019497769
189000,1.2657555,0.0002437502,9.289641,47.039994321763515,47.03999509763283,1000.0,0.6472566,0.018232796
192000,1.2638408,0.00024285019,9.420749,46.90853629012903,46.908536785049364,1000.0,0.65204746,0.01583611
195000,1.2620887,0.0002419502,9.508163,47.26791133483251,47.26791174740841,1000.0,0.6787536,0.017220944
198000,1.2604533,0.0002410502,9.653358,47.27811993161837,47.27812004205771,1000.0,0.6612673,0.017658703
